Lat,Long,Geoid2016,AUK46,AUCK46_NZVD2016
-38.66666667,172.8,-24.802,0.2919,25.0939
-38.66666667,172.8333333,-24.842,0.2919,25.1339
-38.66666667,172.8666667,-24.876,0.2919,25.1679
-38.66666667,172.9,-24.911,0.2919,25.2029
-38.66666667,172.9333333,-24.945,0.2919,25.2369
-38.66666667,172.9666667,-24.982,0.2919,25.2739
-38.66666667,173,-25.019,0.2919,25.3109
-38.66666667,173.0333333,-25.055,0.2919,25.3469
-38.66666667,173.0666667,-25.09,0.2919,25.3819
-38.66666667,173.1,-25.123,0.2919,25.4149
-38.66666667,173.1333333,-25.154,0.2919,25.4459
-38.66666667,173.1666667,-25.184,0.2919,25.4759
-38.66666667,173.2,-25.21,0.2919,25.5019
-38.66666667,173.2333333,-25.231,0.2919,25.5229
-38.66666667,173.2666667,-25.25,0.2919,25.5419
-38.66666667,173.3,-25.266,0.2919,25.5579
-38.66666667,173.3333333,-25.279,0.2919,25.5709
-38.66666667,173.3666667,-25.285,0.2919,25.5769
-38.66666667,173.4,-25.285,0.2919,25.5769
-38.66666667,173.4333333,-25.276,0.2919,25.5679
-38.66666667,173.4666667,-25.264,0.2919,25.5559
-38.66666667,173.5,-25.249,0.2919,25.5409
-38.66666667,173.5333333,-25.237,0.2919,25.5289
-38.66666667,173.5666667,-25.227,0.2919,25.5189
-38.66666667,173.6,-25.216,0.2919,25.5079
-38.66666667,173.6333333,-25.204,0.2919,25.4959
-38.66666667,173.6666667,-25.194,0.2919,25.4859
-38.66666667,173.7,-25.186,0.2948,25.4808
-38.66666667,173.7333333,-25.183,0.2948,25.4778
-38.66666667,173.7666667,-25.187,0.2948,25.4818
-38.66666667,173.8,-25.195,0.2948,25.4898
-38.66666667,173.8333333,-25.207,0.2948,25.5018
-38.66666667,173.8666667,-25.226,0.2948,25.5208
-38.66666667,173.9,-25.25,0.2948,25.5448
-38.66666667,173.9333333,-25.278,0.2948,25.5728
-38.66666667,173.9666667,-25.304,0.2948,25.5988
-38.66666667,174,-25.324,0.2948,25.6188
-38.66666667,174.0333333,-25.336,0.2948,25.6308
-38.66666667,174.0666667,-25.34,0.2948,25.6348
-38.66666667,174.1,-25.339,0.2948,25.6338
-38.66666667,174.1333333,-25.339,0.2948,25.6338
-38.66666667,174.1666667,-25.342,0.2948,25.6368
-38.66666667,174.2,-25.352,0.2949,25.6469
-38.66666667,174.2333333,-25.373,0.2949,25.6679
-38.66666667,174.2666667,-25.408,0.2949,25.7029
-38.66666667,174.3,-25.46,0.2949,25.7549
-38.66666667,174.3333333,-25.532,0.2949,25.8269
-38.66666667,174.3666667,-25.624,0.2949,25.9189
-38.66666667,174.4,-25.723,0.295,26.018
-38.66666667,174.4333333,-25.827,0.295,26.122
-38.66666667,174.4666667,-25.934,0.295,26.229
-38.66666667,174.5,-26.045,0.295,26.34
-38.66666667,174.5333333,-26.17,0.295,26.465
-38.66666667,174.5666667,-26.307,0.2951,26.6021
-38.66666667,174.6,-26.455,0.2951,26.7501
-38.66666667,174.6333333,-26.618,0.2951,26.9131
-38.66666667,174.6666667,-26.751,0.2952,27.0462
-38.66666667,174.7,-26.871,0.2952,27.1662
-38.66666667,174.7333333,-26.961,0.2953,27.2563
-38.66666667,174.7666667,-27.051,0.2953,27.3463
-38.66666667,174.8,-27.138,0.2954,27.4334
-38.66666667,174.8333333,-27.219,0.2954,27.5144
-38.66666667,174.8666667,-27.278,0.2955,27.5735
-38.66666667,174.9,-27.339,0.2956,27.6346
-38.66666667,174.9333333,-27.432,0.2957,27.7277
-38.66666667,174.9666667,-27.521,0.2958,27.8168
-38.66666667,175,-27.599,0.2959,27.8949
-38.66666667,175.0333333,-27.667,0.296,27.963
-38.66666667,175.0666667,-27.739,0.2961,28.0351
-38.66666667,175.1,-27.822,0.2963,28.1183
-38.66666667,175.1333333,-27.893,0.2964,28.1894
-38.66666667,175.1666667,-27.963,0.2966,28.2596
-38.66666667,175.2,-28.005,0.2967,28.3017
-38.66666667,175.2333333,-28.054,0.2969,28.3509
-38.66666667,175.2666667,-28.066,0.297,28.363
-38.66666667,175.3,-28.065,0.2972,28.3622
-38.66666667,175.3333333,-28.099,0.2974,28.3964
-38.66666667,175.3666667,-28.162,0.2976,28.4596
-38.66666667,175.4,-28.237,0.2977,28.5347
-38.66666667,175.4333333,-28.324,0.2979,28.6219
-38.66666667,175.4666667,-28.402,0.2981,28.7001
-38.66666667,175.5,-28.468,0.2983,28.7663
-38.66666667,175.5333333,-28.519,0.2984,28.8174
-38.66666667,175.5666667,-28.535,0.2986,28.8336
-38.66666667,175.6,-28.458,0.2987,28.7567
-38.66666667,175.6333333,-28.342,0.2989,28.6409
-38.66666667,175.6666667,-28.19,0.299,28.489
-38.66666667,175.7,-28.014,0.2992,28.3132
-38.66666667,175.7333333,-27.839,0.2993,28.1383
-38.66666667,175.7666667,-27.654,0.2994,27.9534
-38.66666667,175.8,-27.479,0.2995,27.7785
-38.66666667,175.8333333,-27.315,0.2996,27.6146
-38.66666667,175.8666667,-27.196,0.2997,27.4957
