Lat,Long,Geoid2016,BLF55,BLF55_NZVD2016
-47.63333333,166.8666667,2.188,0.2997,-1.8883
-47.63333333,166.9,2.122,0.2788,-1.8432
-47.63333333,166.9333333,2.063,0.2788,-1.7842
-47.63333333,166.9666667,2.011,0.2788,-1.7322
-47.63333333,167,1.965,0.2788,-1.6862
-47.63333333,167.0333333,1.923,0.2788,-1.6442
-47.63333333,167.0666667,1.889,0.2788,-1.6102
-47.63333333,167.1,1.861,0.2788,-1.5822
-47.63333333,167.1333333,1.829,0.2788,-1.5502
-47.63333333,167.1666667,1.797,0.2788,-1.5182
-47.63333333,167.2,1.761,0.2788,-1.4822
-47.63333333,167.2333333,1.723,0.2787,-1.4443
-47.63333333,167.2666667,1.683,0.2787,-1.4043
-47.63333333,167.3,1.64,0.2787,-1.3613
-47.63333333,167.3333333,1.593,0.2787,-1.3143
-47.63333333,167.3666667,1.547,0.2786,-1.2684
-47.63333333,167.4,1.509,0.2786,-1.2304
-47.63333333,167.4333333,1.48,0.2785,-1.2015
-47.63333333,167.4666667,1.459,0.2785,-1.1805
-47.63333333,167.5,1.447,0.2784,-1.1686
-47.63333333,167.5333333,1.451,0.2784,-1.1726
-47.63333333,167.5666667,1.466,0.2783,-1.1877
-47.63333333,167.6,1.49,0.2782,-1.2118
-47.63333333,167.6333333,1.518,0.2781,-1.2399
-47.63333333,167.6666667,1.552,0.278,-1.274
-47.63333333,167.7,1.586,0.2779,-1.3081
-47.63333333,167.7333333,1.62,0.2778,-1.3422
-47.63333333,167.7666667,1.652,0.2777,-1.3743
-47.63333333,167.8,1.684,0.2775,-1.4065
-47.63333333,167.8333333,1.719,0.2774,-1.4416
-47.63333333,167.8666667,1.758,0.2772,-1.4808
-47.63333333,167.9,1.798,0.277,-1.521
-47.63333333,167.9333333,1.841,0.2768,-1.5642
-47.63333333,167.9666667,1.883,0.2765,-1.6065
-47.63333333,168,1.92,0.2763,-1.6437
-47.63333333,168.0333333,1.952,0.276,-1.676
-47.63333333,168.0666667,1.983,0.2757,-1.7073
-47.63333333,168.1,2.016,0.2754,-1.7406
-47.63333333,168.1333333,2.052,0.2751,-1.7769
-47.63333333,168.1666667,2.092,0.2748,-1.8172
-47.63333333,168.2,2.132,0.2744,-1.8576
-47.63333333,168.2333333,2.17,0.2741,-1.8959
-47.63333333,168.2666667,2.205,0.2737,-1.9313
-47.63333333,168.3,2.234,0.2733,-1.9607
-47.63333333,168.3333333,2.26,0.2728,-1.9872
-47.63333333,168.3666667,2.28,0.2724,-2.0076
-47.63333333,168.4,2.302,0.272,-2.03
-47.63333333,168.4333333,2.324,0.2715,-2.0525
-47.63333333,168.4666667,2.349,0.2711,-2.0779
-47.63333333,168.5,2.377,0.2706,-2.1064
-47.63333333,168.5333333,2.411,0.2701,-2.1409
-47.63333333,168.5666667,2.448,0.2697,-2.1783
-47.63333333,168.6,2.486,0.2692,-2.2168
-47.63333333,168.6333333,2.527,0.2688,-2.2582
-47.63333333,168.6666667,2.567,0.2683,-2.2987
-47.63333333,168.7,2.607,0.2678,-2.3392
-47.63333333,168.7333333,2.648,0.2674,-2.3806
-47.63333333,168.7666667,2.694,0.267,-2.427
-47.63333333,168.8,2.742,0.2666,-2.4754
-47.63333333,168.8333333,2.794,0.2662,-2.5278
-47.63333333,168.8666667,2.854,0.2658,-2.5882
-47.63333333,168.9,2.922,0.2654,-2.6566
-47.63333333,168.9333333,2.994,0.265,-2.729
-47.63333333,168.9666667,3.065,0.2647,-2.8003
-47.63333333,169,3.134,0.2644,-2.8696
-47.63333333,169.0333333,3.196,0.264,-2.932
-47.63333333,169.0666667,3.246,0.2637,-2.9823
-47.63333333,169.1,3.29,0.2635,-3.0265
-47.63333333,169.1333333,3.319,0.2632,-3.0558
-47.63333333,169.1666667,3.341,0.2629,-3.0781
-47.63333333,169.2,3.353,0.2627,-3.0903
-47.63333333,169.2333333,3.352,0.2625,-3.0895
-47.63333333,169.2666667,3.347,0.2623,-3.0847
-47.63333333,169.3,3.338,0.2621,-3.0759
-47.63333333,169.3333333,3.324,0.2619,-3.0621
-47.63333333,169.3666667,3.306,0.2617,-3.0443
-47.63333333,169.4,3.287,0.2616,-3.0254
-47.63333333,169.4333333,3.27,0.2614,-3.0086
-47.63333333,169.4666667,3.253,0.2613,-2.9917
-47.63333333,169.5,3.237,0.2612,-2.9758
-47.63333333,169.5333333,3.224,0.261,-2.963
