Lat,Long,Geoid2016,DBL60,BDL60_NZVD2016
-47.43333333,166.3333333,4.634,0.2537,-4.3803
-47.43333333,166.3666667,4.516,0.2537,-4.2623
-47.43333333,166.4,4.39,0.2537,-4.1363
-47.43333333,166.4333333,4.244,0.2537,-3.9903
-47.43333333,166.4666667,4.094,0.2537,-3.8403
-47.43333333,166.5,3.939,0.2537,-3.6853
-47.43333333,166.5333333,3.785,0.2537,-3.5313
-47.43333333,166.5666667,3.637,0.2537,-3.3833
-47.43333333,166.6,3.495,0.2537,-3.2413
-47.43333333,166.6333333,3.361,0.2537,-3.1073
-47.43333333,166.6666667,3.23,0.2537,-2.9763
-47.43333333,166.7,3.099,0.2537,-2.8453
-47.43333333,166.7333333,2.962,0.2537,-2.7083
-47.43333333,166.7666667,2.818,0.2537,-2.5643
-47.43333333,166.8,2.664,0.2537,-2.4103
-47.43333333,166.8333333,2.502,0.2537,-2.2483
-47.43333333,166.8666667,2.33,0.2537,-2.0763
-47.43333333,166.9,2.154,0.2537,-1.9003
-47.43333333,166.9333333,1.986,0.2406,-1.7454
-47.43333333,166.9666667,1.806,0.2406,-1.5654
-47.43333333,167,1.643,0.2407,-1.4023
-47.43333333,167.0333333,1.492,0.2408,-1.2512
-47.43333333,167.0666667,1.342,0.2409,-1.1011
-47.43333333,167.1,1.231,0.2411,-0.9899
-47.43333333,167.1333333,1.115,0.2412,-0.8738
-47.43333333,167.1666667,1.022,0.2414,-0.7806
-47.43333333,167.2,0.946,0.2416,-0.7044
-47.43333333,167.2333333,0.877,0.2419,-0.6351
-47.43333333,167.2666667,0.821,0.2421,-0.5789
-47.43333333,167.3,0.765,0.2424,-0.5226
-47.43333333,167.3333333,0.714,0.2427,-0.4713
-47.43333333,167.3666667,0.665,0.243,-0.422
-47.43333333,167.4,0.621,0.2434,-0.3776
-47.43333333,167.4333333,0.584,0.2437,-0.3403
-47.43333333,167.4666667,0.551,0.2441,-0.3069
-47.43333333,167.5,0.526,0.2445,-0.2815
-47.43333333,167.5333333,0.511,0.2449,-0.2661
-47.43333333,167.5666667,0.497,0.2454,-0.2516
-47.43333333,167.6,0.487,0.2458,-0.2412
-47.43333333,167.6333333,0.476,0.2463,-0.2297
-47.43333333,167.6666667,0.466,0.2468,-0.2192
-47.43333333,167.7,0.457,0.2473,-0.2097
-47.43333333,167.7333333,0.454,0.2479,-0.2061
-47.43333333,167.7666667,0.45,0.2484,-0.2016
-47.43333333,167.8,0.46,0.249,-0.211
-47.43333333,167.8333333,0.476,0.2496,-0.2264
-47.43333333,167.8666667,0.503,0.2502,-0.2528
-47.43333333,167.9,0.534,0.2508,-0.2832
-47.43333333,167.9333333,0.567,0.2515,-0.3155
-47.43333333,167.9666667,0.602,0.2521,-0.3499
-47.43333333,168,0.637,0.2528,-0.3842
-47.43333333,168.0333333,0.673,0.2534,-0.4196
-47.43333333,168.0666667,0.715,0.2541,-0.4609
-47.43333333,168.1,0.754,0.2548,-0.4992
-47.43333333,168.1333333,0.8,0.2556,-0.5444
-47.43333333,168.1666667,0.843,0.2563,-0.5867
-47.43333333,168.2,0.886,0.257,-0.629
-47.43333333,168.2333333,0.927,0.2578,-0.6692
-47.43333333,168.2666667,0.971,0.2585,-0.7125
-47.43333333,168.3,1.015,0.2593,-0.7557
-47.43333333,168.3333333,1.059,0.2601,-0.7989
-47.43333333,168.3666667,1.109,0.2608,-0.8482
-47.43333333,168.4,1.16,0.2616,-0.8984
-47.43333333,168.4333333,1.206,0.2624,-0.9436
-47.43333333,168.4666667,1.256,0.2632,-0.9928
-47.43333333,168.5,1.306,0.264,-1.042
-47.43333333,168.5333333,1.352,0.2648,-1.0872
-47.43333333,168.5666667,1.399,0.2656,-1.1334
-47.43333333,168.6,1.444,0.2664,-1.1776
-47.43333333,168.6333333,1.488,0.2673,-1.2207
-47.43333333,168.6666667,1.533,0.2681,-1.2649
-47.43333333,168.7,1.579,0.2689,-1.3101
-47.43333333,168.7333333,1.628,0.2697,-1.3583
-47.43333333,168.7666667,1.678,0.2705,-1.4075
-47.43333333,168.8,1.727,0.2713,-1.4557
-47.43333333,168.8333333,1.774,0.2721,-1.5019
-47.43333333,168.8666667,1.814,0.2729,-1.5411
-47.43333333,168.9,1.851,0.2737,-1.5773
-47.43333333,168.9333333,1.886,0.2745,-1.6115
-47.43333333,168.9666667,1.926,0.2753,-1.6507
-47.43333333,169,1.966,0.2761,-1.6899
-47.43333333,169.0333333,2.013,0.2768,-1.7362
-47.43333333,169.0666667,2.06,0.2776,-1.7824
-47.43333333,169.1,2.111,0.2783,-1.8327
-47.43333333,169.1333333,2.159,0.279,-1.88
-47.43333333,169.1666667,2.203,0.2798,-1.9232
-47.43333333,169.2,2.241,0.2805,-1.9605
-47.43333333,169.2333333,2.269,0.2811,-1.9879
-47.43333333,169.2666667,2.293,0.2818,-2.0112
-47.43333333,169.3,2.307,0.2824,-2.0246
-47.43333333,169.3333333,2.313,0.2831,-2.0299
-47.43333333,169.3666667,2.313,0.2837,-2.0293
-47.43333333,169.4,2.31,0.2842,-2.0258
-47.43333333,169.4333333,2.307,0.2848,-2.0222
-47.43333333,169.4666667,2.302,0.2853,-2.0167
-47.43333333,169.5,2.298,0.2858,-2.0122
-47.43333333,169.5333333,2.299,0.2863,-2.0127
-47.43333333,169.5666667,2.305,0.2868,-2.0182
-47.43333333,169.6,2.318,0.2872,-2.0308
-47.43333333,169.6333333,2.336,0.2876,-2.0484
-47.43333333,169.6666667,2.361,0.288,-2.073
-47.43333333,169.7,2.392,0.2884,-2.1036
-47.43333333,169.7333333,2.425,0.2887,-2.1363
