Lat,Long,Geoid2016,DUN58,DUN58_NZVD2016
-47.36666667,167.2333333,0.582,0.3257,-0.2563
-47.36666667,167.2666667,0.518,0.3257,-0.1923
-47.36666667,167.3,0.465,0.3257,-0.1393
-47.36666667,167.3333333,0.411,0.3257,-0.0853
-47.36666667,167.3666667,0.359,0.3257,-0.0333
-47.36666667,167.4,0.314,0.3257,0.0117
-47.36666667,167.4333333,0.275,0.3257,0.0507
-47.36666667,167.4666667,0.246,0.3257,0.0797
-47.36666667,167.5,0.225,0.3257,0.1007
-47.36666667,167.5333333,0.216,0.3257,0.1097
-47.36666667,167.5666667,0.209,0.3257,0.1167
-47.36666667,167.6,0.201,0.3257,0.1247
-47.36666667,167.6333333,0.195,0.3257,0.1307
-47.36666667,167.6666667,0.18,0.3257,0.1457
-47.36666667,167.7,0.162,0.3257,0.1637
-47.36666667,167.7333333,0.148,0.3257,0.1777
-47.36666667,167.7666667,0.136,0.3257,0.1897
-47.36666667,167.8,0.132,0.3257,0.1937
-47.36666667,167.8333333,0.137,0.3257,0.1887
-47.36666667,167.8666667,0.153,0.3257,0.1727
-47.36666667,167.9,0.174,0.3257,0.1517
-47.36666667,167.9333333,0.199,0.3257,0.1267
-47.36666667,167.9666667,0.225,0.3257,0.1007
-47.36666667,168,0.252,0.3257,0.0737
-47.36666667,168.0333333,0.28,0.3257,0.0457
-47.36666667,168.0666667,0.308,0.3257,0.0177
-47.36666667,168.1,0.34,0.3257,-0.0143
-47.36666667,168.1333333,0.374,0.3257,-0.0483
-47.36666667,168.1666667,0.411,0.3257,-0.0853
-47.36666667,168.2,0.449,0.3257,-0.1233
-47.36666667,168.2333333,0.489,0.3257,-0.1633
-47.36666667,168.2666667,0.531,0.3171,-0.2139
-47.36666667,168.3,0.573,0.3171,-0.2559
-47.36666667,168.3333333,0.616,0.3171,-0.2989
-47.36666667,168.3666667,0.661,0.3172,-0.3438
-47.36666667,168.4,0.708,0.3172,-0.3908
-47.36666667,168.4333333,0.757,0.3172,-0.4398
-47.36666667,168.4666667,0.808,0.3172,-0.4908
-47.36666667,168.5,0.861,0.3173,-0.5437
-47.36666667,168.5333333,0.914,0.3173,-0.5967
-47.36666667,168.5666667,0.966,0.3173,-0.6487
-47.36666667,168.6,1.016,0.3174,-0.6986
-47.36666667,168.6333333,1.064,0.3174,-0.7466
-47.36666667,168.6666667,1.112,0.3175,-0.7945
-47.36666667,168.7,1.161,0.3175,-0.8435
-47.36666667,168.7333333,1.212,0.3176,-0.8944
-47.36666667,168.7666667,1.263,0.3176,-0.9454
