Lat,Long,Geoid2016,GSB26,GSB26_NZVD2016
-39.93333333,175.6666667,-14.987,0.3434,15.3304
-39.93333333,175.7,-15.187,0.3434,15.5304
-39.93333333,175.7333333,-15.409,0.3434,15.7524
-39.93333333,175.7666667,-15.629,0.3434,15.9724
-39.93333333,175.8,-15.868,0.3434,16.2114
-39.93333333,175.8333333,-16.102,0.3434,16.4454
-39.93333333,175.8666667,-16.337,0.3434,16.6804
-39.93333333,175.9,-16.578,0.3434,16.9214
-39.93333333,175.9333333,-16.857,0.3434,17.2004
-39.93333333,175.9666667,-17.15,0.3434,17.4934
-39.93333333,176,-17.456,0.3434,17.7994
-39.93333333,176.0333333,-17.802,0.3434,18.1454
-39.93333333,176.0666667,-17.973,0.3434,18.3164
-39.93333333,176.1,-18.144,0.3434,18.4874
-39.93333333,176.1333333,-18.094,0.3434,18.4374
-39.93333333,176.1666667,-17.992,0.3434,18.3354
-39.93333333,176.2,-17.894,0.3434,18.2374
-39.93333333,176.2333333,-17.821,0.3434,18.1644
-39.93333333,176.2666667,-17.809,0.3434,18.1524
-39.93333333,176.3,-17.788,0.3434,18.1314
-39.93333333,176.3333333,-17.809,0.3434,18.1524
-39.93333333,176.3666667,-17.845,0.3434,18.1884
-39.93333333,176.4,-17.898,0.3536,18.2516
-39.93333333,176.4333333,-17.982,0.3536,18.3356
-39.93333333,176.4666667,-18.064,0.3536,18.4176
-39.93333333,176.5,-18.168,0.3536,18.5216
-39.93333333,176.5333333,-18.279,0.3536,18.6326
-39.93333333,176.5666667,-18.387,0.3536,18.7406
-39.93333333,176.6,-18.467,0.3536,18.8206
-39.93333333,176.6333333,-18.558,0.3536,18.9116
-39.93333333,176.6666667,-18.643,0.3535,18.9965
-39.93333333,176.7,-18.759,0.3535,19.1125
-39.93333333,176.7333333,-18.869,0.3535,19.2225
-39.93333333,176.7666667,-18.991,0.3535,19.3445
-39.93333333,176.8,-19.105,0.3535,19.4585
-39.93333333,176.8333333,-19.216,0.3535,19.5695
-39.93333333,176.8666667,-19.296,0.3535,19.6495
-39.93333333,176.9,-19.33,0.3535,19.6835
-39.93333333,176.9333333,-19.345,0.3535,19.6985
-39.93333333,176.9666667,-19.355,0.3534,19.7084
-39.93333333,177,-19.371,0.3534,19.7244
-39.93333333,177.0333333,-19.386,0.3534,19.7394
-39.93333333,177.0666667,-19.392,0.3534,19.7454
-39.93333333,177.1,-19.38,0.3534,19.7334
-39.93333333,177.1333333,-19.364,0.3533,19.7173
-39.93333333,177.1666667,-19.332,0.3533,19.6853
-39.93333333,177.2,-19.301,0.3533,19.6543
-39.93333333,177.2333333,-19.284,0.3533,19.6373
-39.93333333,177.2666667,-19.275,0.3532,19.6282
-39.93333333,177.3,-19.278,0.3532,19.6312
-39.93333333,177.3333333,-19.298,0.3531,19.6511
-39.93333333,177.3666667,-19.322,0.3531,19.6751
-39.93333333,177.4,-19.336,0.353,19.689
-39.93333333,177.4333333,-19.353,0.353,19.706
-39.93333333,177.4666667,-19.35,0.3529,19.7029
-39.93333333,177.5,-19.346,0.3529,19.6989
-39.93333333,177.5333333,-19.333,0.3528,19.6858
-39.93333333,177.5666667,-19.324,0.3527,19.6767
-39.93333333,177.6,-19.312,0.3526,19.6646
-39.93333333,177.6333333,-19.312,0.3525,19.6645
-39.93333333,177.6666667,-19.317,0.3524,19.6694
-39.93333333,177.7,-19.332,0.3523,19.6843
-39.93333333,177.7333333,-19.356,0.3522,19.7082
-39.93333333,177.7666667,-19.386,0.352,19.738
-39.93333333,177.8,-19.428,0.3519,19.7799
-39.93333333,177.8333333,-19.478,0.3518,19.8298
-39.93333333,177.8666667,-19.534,0.3516,19.8856
-39.93333333,177.9,-19.59,0.3514,19.9414
-39.93333333,177.9333333,-19.642,0.3512,19.9932
-39.93333333,177.9666667,-19.693,0.3511,20.0441
-39.93333333,178,-19.746,0.3509,20.0969
-39.93333333,178.0333333,-19.808,0.3507,20.1587
-39.93333333,178.0666667,-19.877,0.3504,20.2274
-39.93333333,178.1,-19.948,0.3502,20.2982
-39.93333333,178.1333333,-20.01,0.35,20.36
-39.93333333,178.1666667,-20.05,0.3498,20.3998
-39.93333333,178.2,-20.05,0.3495,20.3995
-39.93333333,178.2333333,-20.005,0.3493,20.3543
-39.93333333,178.2666667,-19.937,0.349,20.286
-39.93333333,178.3,-19.855,0.3488,20.2038
-39.93333333,178.3333333,-19.763,0.3485,20.1115
-39.93333333,178.3666667,-19.667,0.3482,20.0152
-39.93333333,178.4,-19.565,0.348,19.913
-39.93333333,178.4333333,-19.464,0.3477,19.8117
-39.93333333,178.4666667,-19.344,0.3475,19.6915
