Lat,Long,Geoid2016,LTN37,LTN37_NZVD2016
-45.96666667,167.6,-4.493,0.3404,4.8334
-45.96666667,167.6333333,-4.527,0.3404,4.8674
-45.96666667,167.6666667,-4.564,0.3404,4.9044
-45.96666667,167.7,-4.637,0.3404,4.9774
-45.96666667,167.7333333,-4.748,0.3404,5.0884
-45.96666667,167.7666667,-4.868,0.3404,5.2084
-45.96666667,167.8,-4.989,0.3404,5.3294
-45.96666667,167.8333333,-5.101,0.3404,5.4414
-45.96666667,167.8666667,-5.213,0.3404,5.5534
-45.96666667,167.9,-5.289,0.3404,5.6294
-45.96666667,167.9333333,-5.303,0.3404,5.6434
-45.96666667,167.9666667,-5.292,0.3404,5.6324
-45.96666667,168,-5.266,0.3404,5.6064
-45.96666667,168.0333333,-5.234,0.3404,5.5744
-45.96666667,168.0666667,-5.189,0.3404,5.5294
-45.96666667,168.1,-5.162,0.3404,5.5024
-45.96666667,168.1333333,-5.146,0.3404,5.4864
-45.96666667,168.1666667,-5.156,0.3404,5.4964
-45.96666667,168.2,-5.177,0.3404,5.5174
-45.96666667,168.2333333,-5.181,0.3404,5.5214
-45.96666667,168.2666667,-5.178,0.3404,5.5184
-45.96666667,168.3,-5.149,0.3404,5.4894
-45.96666667,168.3333333,-5.157,0.3404,5.4974
-45.96666667,168.3666667,-5.198,0.3404,5.5384
-45.96666667,168.4,-5.271,0.3404,5.6114
-45.96666667,168.4333333,-5.349,0.3404,5.6894
-45.96666667,168.4666667,-5.38,0.3404,5.7204
-45.96666667,168.5,-5.449,0.3404,5.7894
-45.96666667,168.5333333,-5.515,0.3404,5.8554
-45.96666667,168.5666667,-5.54,0.3404,5.8804
-45.96666667,168.6,-5.539,0.3404,5.8794
-45.96666667,168.6333333,-5.527,0.3404,5.8674
-45.96666667,168.6666667,-5.512,0.3404,5.8524
-45.96666667,168.7,-5.522,0.3404,5.8624
-45.96666667,168.7333333,-5.548,0.3404,5.8884
-45.96666667,168.7666667,-5.578,0.3404,5.9184
-45.96666667,168.8,-5.627,0.3404,5.9674
-45.96666667,168.8333333,-5.697,0.3404,6.0374
-45.96666667,168.8666667,-5.775,0.3404,6.1154
-45.96666667,168.9,-5.846,0.3404,6.1864
-45.96666667,168.9333333,-5.914,0.3404,6.2544
-45.96666667,168.9666667,-5.987,0.3404,6.3274
-45.96666667,169,-6.052,0.3404,6.3924
-45.96666667,169.0333333,-6.121,0.3404,6.4614
-45.96666667,169.0666667,-6.199,0.3404,6.5394
-45.96666667,169.1,-6.263,0.3404,6.6034
-45.96666667,169.1333333,-6.327,0.3404,6.6674
-45.96666667,169.1666667,-6.375,0.3404,6.7154
-45.96666667,169.2,-6.419,0.3404,6.7594
-45.96666667,169.2333333,-6.452,0.3404,6.7924
-45.96666667,169.2666667,-6.511,0.3404,6.8514
-45.96666667,169.3,-6.608,0.3404,6.9484
-45.96666667,169.3333333,-6.642,0.3404,6.9824
-45.96666667,169.3666667,-6.625,0.3404,6.9654
-45.96666667,169.4,-6.599,0.3404,6.9394
-45.96666667,169.4333333,-6.533,0.3404,6.8734
-45.96666667,169.4666667,-6.477,0.3404,6.8174
-45.96666667,169.5,-6.447,0.3404,6.7874
-45.96666667,169.5333333,-6.434,0.3404,6.7744
-45.96666667,169.5666667,-6.434,0.3404,6.7744
-45.96666667,169.6,-6.424,0.3404,6.7644
-45.96666667,169.6333333,-6.429,0.3404,6.7694
-45.96666667,169.6666667,-6.447,0.3284,6.7754
-45.96666667,169.7,-6.44,0.3285,6.7685
-45.96666667,169.7333333,-6.42,0.3288,6.7488
-45.96666667,169.7666667,-6.414,0.3291,6.7431
-45.96666667,169.8,-6.406,0.3295,6.7355
-45.96666667,169.8333333,-6.426,0.3298,6.7558
-45.96666667,169.8666667,-6.465,0.3302,6.7952
-45.96666667,169.9,-6.46,0.3306,6.7906
-45.96666667,169.9333333,-6.426,0.331,6.757
-45.96666667,169.9666667,-6.369,0.3314,6.7004
-45.96666667,170,-6.267,0.3318,6.5988
-45.96666667,170.0333333,-6.148,0.3322,6.4802
-45.96666667,170.0666667,-6.039,0.3326,6.3716
-45.96666667,170.1,-5.939,0.3331,6.2721
-45.96666667,170.1333333,-5.858,0.3335,6.1915
-45.96666667,170.1666667,-5.782,0.334,6.116
-45.96666667,170.2,-5.724,0.3345,6.0585
-45.96666667,170.2333333,-5.669,0.3349,6.0039
-45.96666667,170.2666667,-5.595,0.3354,5.9304
-45.96666667,170.3,-5.51,0.3359,5.8459
-45.96666667,170.3333333,-5.432,0.3364,5.7684
-45.96666667,170.3666667,-5.355,0.3369,5.6919
-45.96666667,170.4,-5.274,0.3375,5.6115
-45.96666667,170.4333333,-5.198,0.338,5.536
-45.96666667,170.4666667,-5.129,0.3385,5.4675
-45.96666667,170.5,-5.061,0.3391,5.4001
-45.96666667,170.5333333,-4.993,0.3396,5.3326
-45.96666667,170.5666667,-4.922,0.3402,5.2622
-45.96666667,170.6,-4.847,0.3407,5.1877
-45.96666667,170.6333333,-4.763,0.3413,5.1043
-45.96666667,170.6666667,-4.67,0.3418,5.0118
-45.96666667,170.7,-4.569,0.3424,4.9114
-45.96666667,170.7333333,-4.458,0.343,4.801
-45.96666667,170.7666667,-4.342,0.3435,4.6855
-45.96666667,170.8,-4.22,0.3441,4.5641
-45.96666667,170.8333333,-4.091,0.3446,4.4356
-45.96666667,170.8666667,-3.954,0.3452,4.2992
-45.96666667,170.9,-3.811,0.3457,4.1567
-45.96666667,170.9333333,-3.659,0.3462,4.0052
-45.96666667,170.9666667,-3.499,0.3468,3.8458
-45.96666667,171,-3.328,0.3473,3.6753
-45.96666667,171.0333333,-3.151,0.3478,3.4988
-45.96666667,171.0666667,-2.975,0.3482,3.3232
-45.96666667,171.1,-2.801,0.3487,3.1497
-45.96666667,171.1333333,-2.637,0.3492,2.9862
-45.96666667,171.1666667,-2.478,0.3496,2.8276
-45.96666667,171.2,-2.337,0.35,2.687
-45.96666667,171.2333333,-2.205,0.3504,2.5554
