Lat,Long,Geoid2016,MOT53,MOT53_NZVD2016
-41.6,173.4,-16.141,0.3093,16.4503
-41.6,173.4333333,-15.943,0.3093,16.2523
-41.6,173.4666667,-15.762,0.3093,16.0713
-41.6,173.5,-15.596,0.3093,15.9053
-41.6,173.5333333,-15.423,0.3093,15.7323
-41.6,173.5666667,-15.256,0.3093,15.5653
-41.6,173.6,-15.05,0.3093,15.3593
-41.6,173.6333333,-14.845,0.3093,15.1543
-41.6,173.6666667,-14.647,0.3093,14.9563
-41.6,173.7,-14.431,0.3093,14.7403
-41.6,173.7333333,-14.241,0.3093,14.5503
-41.6,173.7666667,-14.086,0.3093,14.3953
-41.6,173.8,-13.923,0.3093,14.2323
-41.6,173.8333333,-13.76,0.3093,14.0693
-41.6,173.8666667,-13.602,0.3093,13.9113
-41.6,173.9,-13.43,0.3093,13.7393
-41.6,173.9333333,-13.224,0.287,13.511
-41.6,173.9666667,-13.052,0.287,13.339
-41.6,174,-12.88,0.287,13.167
-41.6,174.0333333,-12.67,0.2869,12.9569
-41.6,174.0666667,-12.467,0.2869,12.7539
-41.6,174.1,-12.274,0.2868,12.5608
-41.6,174.1333333,-12.102,0.2867,12.3887
-41.6,174.1666667,-11.945,0.2866,12.2316
-41.6,174.2,-11.817,0.2865,12.1035
-41.6,174.2333333,-11.702,0.2863,11.9883
-41.6,174.2666667,-11.6,0.2862,11.8862
-41.6,174.3,-11.508,0.286,11.794
-41.6,174.3333333,-11.427,0.2858,11.7128
-41.6,174.3666667,-11.36,0.2856,11.6456
-41.6,174.4,-11.308,0.2854,11.5934
-41.6,174.4333333,-11.263,0.2852,11.5482
-41.6,174.4666667,-11.223,0.285,11.508
-41.6,174.5,-11.201,0.2848,11.4858
-41.6,174.5333333,-11.197,0.2845,11.4815
-41.6,174.5666667,-11.21,0.2843,11.4943
-41.6,174.6,-11.223,0.284,11.507
-41.6,174.6333333,-11.262,0.2837,11.5457
-41.6,174.6666667,-11.313,0.2835,11.5965
-41.6,174.7,-11.367,0.2832,11.6502
-41.6,174.7333333,-11.433,0.2829,11.7159
-41.6,174.7666667,-11.477,0.2826,11.7596
-41.6,174.8,-11.536,0.2823,11.8183
-41.6,174.8333333,-11.593,0.282,11.875
-41.6,174.8666667,-11.658,0.2817,11.9397
-41.6,174.9,-11.73,0.2814,12.0114
-41.6,174.9333333,-11.841,0.2811,12.1221
-41.6,174.9666667,-11.972,0.2808,12.2528
-41.6,175,-12.131,0.2805,12.4115
-41.6,175.0333333,-12.32,0.2802,12.6002
-41.6,175.0666667,-12.518,0.2799,12.7979
-41.6,175.1,-12.716,0.2796,12.9956
-41.6,175.1333333,-12.913,0.2793,13.1923
-41.6,175.1666667,-13.098,0.279,13.377
-41.6,175.2,-13.271,0.2787,13.5497
-41.6,175.2333333,-13.423,0.2784,13.7014
-41.6,175.2666667,-13.585,0.2781,13.8631
-41.6,175.3,-13.701,0.2779,13.9789
-41.6,175.3333333,-13.726,0.2776,14.0036
-41.6,175.3666667,-13.717,0.2774,13.9944
-41.6,175.4,-13.691,0.2772,13.9682
-41.6,175.4333333,-13.665,0.2769,13.9419
-41.6,175.4666667,-13.631,0.2767,13.9077
-41.6,175.5,-13.594,0.2765,13.8705
-41.6,175.5333333,-13.553,0.2763,13.8293
-41.6,175.5666667,-13.507,0.2762,13.7832
-41.6,175.6,-13.445,0.276,13.721
-41.6,175.6333333,-13.365,0.2759,13.6409
-41.6,175.6666667,-13.276,0.2757,13.5517
-41.6,175.7,-13.188,0.2756,13.4636
-41.6,175.7333333,-13.111,0.2755,13.3865
-41.6,175.7666667,-13.052,0.2754,13.3274
-41.6,175.8,-13.002,0.2753,13.2773
-41.6,175.8333333,-12.958,0.2752,13.2332
-41.6,175.8666667,-12.916,0.2751,13.1911
-41.6,175.9,-12.876,0.2751,13.1511
-41.6,175.9333333,-12.84,0.275,13.115
-41.6,175.9666667,-12.81,0.275,13.085
-41.6,176,-12.788,0.275,13.063
-41.6,176.0333333,-12.773,0.275,13.048
-41.6,176.0666667,-12.763,0.275,13.038
-41.6,176.1,-12.743,0.275,13.018
-41.6,176.1333333,-12.73,0.275,13.005
-41.6,176.1666667,-12.72,0.275,12.995
-41.6,176.2,-12.715,0.275,12.99
-41.6,176.2333333,-12.725,0.275,13
-41.6,176.2666667,-12.73,0.2751,13.0051
-41.6,176.3,-12.746,0.2751,13.0211
-41.6,176.3333333,-12.765,0.2751,13.0401
-41.6,176.3666667,-12.784,0.2752,13.0592
-41.6,176.4,-12.802,0.2752,13.0772
-41.6,176.4333333,-12.817,0.2753,13.0923
-41.6,176.4666667,-12.824,0.2753,13.0993
-41.6,176.5,-12.826,0.2754,13.1014
-41.6,176.5333333,-12.82,0.2754,13.0954
-41.6,176.5666667,-12.811,0.2755,13.0865
-41.6,176.6,-12.791,0.2755,13.0665
-41.6,176.6333333,-12.776,0.2755,13.0515
-41.6,176.6666667,-12.763,0.2756,13.0386
-41.6,176.7,-12.756,0.2756,13.0316
-41.6,176.7333333,-12.755,0.2757,13.0307
-41.6,176.7666667,-12.757,0.2757,13.0327
-41.6,176.8,-12.77,0.2757,13.0457
-41.6,176.8333333,-12.787,0.2757,13.0627
-41.6,176.8666667,-12.806,0.3093,13.1153
-41.6,176.9,-12.827,0.3093,13.1363
-41.6,176.9333333,-12.849,0.3093,13.1583
-41.6,176.9666667,-12.877,0.3093,13.1863
-41.6,177,-12.909,0.3093,13.2183
-41.6,177.0333333,-12.944,0.3093,13.2533
-41.6,177.0666667,-12.982,0.3093,13.2913
-41.6,177.1,-13.026,0.3093,13.3353
-41.6,177.1333333,-13.07,0.3093,13.3793
-41.6,177.1666667,-13.115,0.3093,13.4243
-41.6,177.2,-13.157,0.3093,13.4663
-41.6,177.2333333,-13.201,0.3093,13.5103
-41.6,177.2666667,-13.243,0.3093,13.5523
-41.6,177.3,-13.289,0.3093,13.5983
-41.6,177.3333333,-13.339,0.3093,13.6483
-41.6,177.3666667,-13.391,0.3093,13.7003
-41.6,177.4,-13.443,0.3093,13.7523
-41.6,177.4333333,-13.499,0.3093,13.8083
-41.6,177.4666667,-13.555,0.3093,13.8643
-41.6,177.5,-13.611,0.3093,13.9203
-41.6,177.5333333,-13.666,0.3093,13.9753
-41.6,177.5666667,-13.722,0.3093,14.0313
-41.6,177.6,-13.776,0.3093,14.0853
-41.6,177.6333333,-13.831,0.3093,14.1403
-41.6,177.6666667,-13.887,0.3093,14.1963
-41.6,177.7,-13.944,0.3093,14.2533
-41.6,177.7333333,-14.001,0.3093,14.3103
-41.6,177.7666667,-14.062,0.3093,14.3713
-41.6,177.8,-14.12,0.3093,14.4293
-41.6,177.8333333,-14.182,0.3093,14.4913
-41.6,177.8666667,-14.253,0.3093,14.5623
-41.6,177.9,-14.325,0.3093,14.6343
-41.6,177.9333333,-14.405,0.3093,14.7143
-41.6,177.9666667,-14.487,0.3093,14.7963
-41.6,178,-14.567,0.3093,14.8763
-41.6,178.0333333,-14.647,0.3093,14.9563
-41.6,178.0666667,-14.727,0.3093,15.0363
-41.6,178.1,-14.81,0.3093,15.1193
-41.6,178.1333333,-14.893,0.3093,15.2023
-41.6,178.1666667,-14.979,0.3093,15.2883
-41.6,178.2,-15.068,0.3093,15.3773
-41.6,178.2333333,-15.159,0.3093,15.4683
