Lat,Long,Geoid2016,NPR62,NPR62_NZVD2016
-41.36666667,174.4,-11.919,0.2368,12.1558
-41.36666667,174.4333333,-11.888,0.2368,12.1248
-41.36666667,174.4666667,-11.884,0.2368,12.1208
-41.36666667,174.5,-11.909,0.2368,12.1458
-41.36666667,174.5333333,-11.982,0.2368,12.2188
-41.36666667,174.5666667,-12.082,0.2368,12.3188
-41.36666667,174.6,-12.205,0.2368,12.4418
-41.36666667,174.6333333,-12.345,0.2369,12.5819
-41.36666667,174.6666667,-12.484,0.2369,12.7209
-41.36666667,174.7,-12.615,0.237,12.852
-41.36666667,174.7333333,-12.734,0.237,12.971
-41.36666667,174.7666667,-12.845,0.2371,13.0821
-41.36666667,174.8,-12.96,0.2371,13.1971
-41.36666667,174.8333333,-13.093,0.2372,13.3302
-41.36666667,174.8666667,-13.249,0.2373,13.4863
-41.36666667,174.9,-13.411,0.2374,13.6484
-41.36666667,174.9333333,-13.595,0.2374,13.8324
-41.36666667,174.9666667,-13.79,0.2375,14.0275
-41.36666667,175,-13.872,0.2376,14.1096
-41.36666667,175.0333333,-13.971,0.2377,14.2087
-41.36666667,175.0666667,-14.037,0.2378,14.2748
-41.36666667,175.1,-14.125,0.2379,14.3629
-41.36666667,175.1333333,-14.237,0.2381,14.4751
-41.36666667,175.1666667,-14.396,0.2382,14.6342
-41.36666667,175.2,-14.587,0.2383,14.8253
-41.36666667,175.2333333,-14.813,0.2384,15.0514
-41.36666667,175.2666667,-15.049,0.2386,15.2876
-41.36666667,175.3,-15.31,0.2387,15.5487
-41.36666667,175.3333333,-15.506,0.2388,15.7448
-41.36666667,175.3666667,-15.617,0.239,15.856
-41.36666667,175.4,-15.687,0.2391,15.9261
-41.36666667,175.4333333,-15.713,0.2393,15.9523
-41.36666667,175.4666667,-15.726,0.2394,15.9654
-41.36666667,175.5,-15.743,0.2396,15.9826
-41.36666667,175.5333333,-15.764,0.2397,16.0037
-41.36666667,175.5666667,-15.813,0.2399,16.0529
-41.36666667,175.6,-15.88,0.2401,16.1201
-41.36666667,175.6333333,-15.899,0.2402,16.1392
-41.36666667,175.6666667,-15.921,0.2404,16.1614
-41.36666667,175.7,-15.897,0.2405,16.1375
-41.36666667,175.7333333,-15.884,0.2407,16.1247
-41.36666667,175.7666667,-15.862,0.2409,16.1029
-41.36666667,175.8,-15.8,0.241,16.041
-41.36666667,175.8333333,-15.738,0.2412,15.9792
-41.36666667,175.8666667,-15.668,0.2413,15.9093
-41.36666667,175.9,-15.605,0.2415,15.8465
-41.36666667,175.9333333,-15.543,0.2416,15.7846
-41.36666667,175.9666667,-15.48,0.2418,15.7218
-41.36666667,176,-15.41,0.2419,15.6519
-41.36666667,176.0333333,-15.334,0.242,15.576
