Lat,Long,Geoid2016,OTP64,OTP64_NZVD16
-37.3,171.7333333,-27.32,0.0773,27.3973
-37.3,171.7666667,-27.326,0.0773,27.4033
-37.3,171.8,-27.334,0.0773,27.4113
-37.3,171.8333333,-27.343,0.0773,27.4203
-37.3,171.8666667,-27.352,0.0773,27.4293
-37.3,171.9,-27.361,0.0773,27.4383
-37.3,171.9333333,-27.372,0.0773,27.4493
-37.3,171.9666667,-27.383,0.0773,27.4603
-37.3,172,-27.396,0.0773,27.4733
-37.3,172.0333333,-27.409,0.0773,27.4863
-37.3,172.0666667,-27.422,0.0773,27.4993
-37.3,172.1,-27.437,0.0773,27.5143
-37.3,172.1333333,-27.452,0.0773,27.5293
-37.3,172.1666667,-27.472,0.0773,27.5493
-37.3,172.2,-27.496,0.0773,27.5733
-37.3,172.2333333,-27.523,0.0773,27.6003
-37.3,172.2666667,-27.554,0.0773,27.6313
-37.3,172.3,-27.587,0.0773,27.6643
-37.3,172.3333333,-27.623,0.0773,27.7003
-37.3,172.3666667,-27.663,0.0773,27.7403
-37.3,172.4,-27.705,0.0773,27.7823
-37.3,172.4333333,-27.749,0.0773,27.8263
-37.3,172.4666667,-27.793,0.0773,27.8703
-37.3,172.5,-27.838,0.0773,27.9153
-37.3,172.5333333,-27.881,0.0773,27.9583
-37.3,172.5666667,-27.927,0.0773,28.0043
-37.3,172.6,-27.979,0.0773,28.0563
-37.3,172.6333333,-28.033,0.0773,28.1103
-37.3,172.6666667,-28.091,0.0773,28.1683
-37.3,172.7,-28.148,0.0773,28.2253
-37.3,172.7333333,-28.203,0.0773,28.2803
-37.3,172.7666667,-28.254,0.0773,28.3313
-37.3,172.8,-28.302,0.0773,28.3793
-37.3,172.8333333,-28.349,0.0773,28.4263
-37.3,172.8666667,-28.394,0.0773,28.4713
-37.3,172.9,-28.439,0.0773,28.5163
-37.3,172.9333333,-28.483,0.0773,28.5603
-37.3,172.9666667,-28.527,0.0773,28.6043
-37.3,173,-28.575,0.0773,28.6523
-37.3,173.0333333,-28.625,0.0773,28.7023
-37.3,173.0666667,-28.681,0.0848,28.7658
-37.3,173.1,-28.738,0.0849,28.8229
-37.3,173.1333333,-28.796,0.085,28.881
-37.3,173.1666667,-28.853,0.0853,28.9383
-37.3,173.2,-28.905,0.0855,28.9905
-37.3,173.2333333,-28.951,0.0858,29.0368
-37.3,173.2666667,-28.994,0.0862,29.0802
-37.3,173.3,-29.036,0.0865,29.1225
-37.3,173.3333333,-29.078,0.0869,29.1649
-37.3,173.3666667,-29.129,0.0873,29.2163
-37.3,173.4,-29.188,0.0877,29.2757
-37.3,173.4333333,-29.259,0.088,29.347
-37.3,173.4666667,-29.336,0.0884,29.4244
-37.3,173.5,-29.422,0.0888,29.5108
-37.3,173.5333333,-29.507,0.0892,29.5962
-37.3,173.5666667,-29.586,0.0895,29.6755
-37.3,173.6,-29.658,0.0899,29.7479
-37.3,173.6333333,-29.725,0.0902,29.8152
-37.3,173.6666667,-29.791,0.0906,29.8816
-37.3,173.7,-29.865,0.0909,29.9559
-37.3,173.7333333,-29.95,0.0912,30.0412
-37.3,173.7666667,-30.044,0.0915,30.1355
-37.3,173.8,-30.147,0.0918,30.2388
-37.3,173.8333333,-30.254,0.0921,30.3461
-37.3,173.8666667,-30.371,0.0924,30.4634
-37.3,173.9,-30.497,0.0926,30.5896
-37.3,173.9333333,-30.634,0.0928,30.7268
-37.3,173.9666667,-30.789,0.093,30.882
-37.3,174,-30.962,0.0932,31.0552
-37.3,174.0333333,-31.151,0.0934,31.2444
-37.3,174.0666667,-31.341,0.0935,31.4345
-37.3,174.1,-31.516,0.0936,31.6096
-37.3,174.1333333,-31.66,0.0937,31.7537
-37.3,174.1666667,-31.756,0.0938,31.8498
-37.3,174.2,-31.796,0.0939,31.8899
-37.3,174.2333333,-31.81,0.0939,31.9039
-37.3,174.2666667,-31.815,0.094,31.909
-37.3,174.3,-31.821,0.094,31.915
-37.3,174.3333333,-31.833,0.094,31.927
-37.3,174.3666667,-31.857,0.094,31.951
-37.3,174.4,-31.889,0.094,31.983
-37.3,174.4333333,-31.93,0.0939,32.0239
-37.3,174.4666667,-31.978,0.0939,32.0719
-37.3,174.5,-32.034,0.0938,32.1278
-37.3,174.5333333,-32.089,0.0938,32.1828
