Lat,Long,Geoid2016,STI77,STI77_NZVD2016
-48.06666667,166.3,4.525,0.2999,-4.2251
-48.06666667,166.3333333,4.349,0.2999,-4.0491
-48.06666667,166.3666667,4.167,0.2999,-3.8671
-48.06666667,166.4,3.988,0.2999,-3.6881
-48.06666667,166.4333333,3.82,0.2999,-3.5201
-48.06666667,166.4666667,3.668,0.2999,-3.3681
-48.06666667,166.5,3.536,0.2999,-3.2361
-48.06666667,166.5333333,3.432,0.2999,-3.1321
-48.06666667,166.5666667,3.347,0.2999,-3.0471
-48.06666667,166.6,3.277,0.2999,-2.9771
-48.06666667,166.6333333,3.22,0.2999,-2.9201
-48.06666667,166.6666667,3.173,0.2999,-2.8731
-48.06666667,166.7,3.135,0.2999,-2.8351
-48.06666667,166.7333333,3.103,0.2999,-2.8031
-48.06666667,166.7666667,3.07,0.2999,-2.7701
-48.06666667,166.8,3.039,0.2999,-2.7391
-48.06666667,166.8333333,3.008,0.2999,-2.7081
-48.06666667,166.8666667,2.979,0.2999,-2.6791
-48.06666667,166.9,2.956,0.2999,-2.6561
-48.06666667,166.9333333,2.945,0.2999,-2.6451
-48.06666667,166.9666667,2.937,0.2999,-2.6371
-48.06666667,167,2.943,0.2999,-2.6431
-48.06666667,167.0333333,2.959,0.2999,-2.6591
-48.06666667,167.0666667,2.978,0.2999,-2.6781
-48.06666667,167.1,3.003,0.2999,-2.7031
-48.06666667,167.1333333,3.03,0.2999,-2.7301
-48.06666667,167.1666667,3.057,0.2999,-2.7571
-48.06666667,167.2,3.087,0.2999,-2.7871
-48.06666667,167.2333333,3.117,0.2999,-2.8171
-48.06666667,167.2666667,3.148,0.2999,-2.8481
-48.06666667,167.3,3.175,0.2999,-2.8751
-48.06666667,167.3333333,3.199,0.2999,-2.8991
-48.06666667,167.3666667,3.215,0.2999,-2.9151
-48.06666667,167.4,3.223,0.2999,-2.9231
-48.06666667,167.4333333,3.223,0.2999,-2.9231
-48.06666667,167.4666667,3.221,0.2999,-2.9211
-48.06666667,167.5,3.214,0.2999,-2.9141
-48.06666667,167.5333333,3.212,0.2999,-2.9121
-48.06666667,167.5666667,3.21,0.2999,-2.9101
-48.06666667,167.6,3.218,0.2999,-2.9181
-48.06666667,167.6333333,3.226,0.2999,-2.9261
-48.06666667,167.6666667,3.238,0.2999,-2.9381
-48.06666667,167.7,3.255,0.2999,-2.9551
-48.06666667,167.7333333,3.275,0.2999,-2.9751
-48.06666667,167.7666667,3.303,0.2999,-3.0031
-48.06666667,167.8,3.339,0.2999,-3.0391
-48.06666667,167.8333333,3.377,0.2999,-3.0771
-48.06666667,167.8666667,3.421,0.2999,-3.1211
-48.06666667,167.9,3.469,0.2999,-3.1691
-48.06666667,167.9333333,3.512,0.2999,-3.2121
-48.06666667,167.9666667,3.558,0.2999,-3.2581
-48.06666667,168,3.6,0.2999,-3.3001
-48.06666667,168.0333333,3.641,0.2999,-3.3411
-48.06666667,168.0666667,3.681,0.2999,-3.3811
-48.06666667,168.1,3.72,0.2999,-3.4201
-48.06666667,168.1333333,3.76,0.2999,-3.4601
-48.06666667,168.1666667,3.802,0.2999,-3.5021
-48.06666667,168.2,3.842,0.2999,-3.5421
-48.06666667,168.2333333,3.886,0.2999,-3.5861
-48.06666667,168.2666667,3.919,0.2999,-3.6191
-48.06666667,168.3,3.959,0.2999,-3.6591
-48.06666667,168.3333333,3.992,0.2999,-3.6921
-48.06666667,168.3666667,4.03,0.2999,-3.7301
-48.06666667,168.4,4.072,0.2999,-3.7721
-48.06666667,168.4333333,4.124,0.2999,-3.8241
-48.06666667,168.4666667,4.177,0.2999,-3.8771
-48.06666667,168.5,4.236,0.2999,-3.9361
-48.06666667,168.5333333,4.296,0.2999,-3.9961
-48.06666667,168.5666667,4.356,0.2999,-4.0561
-48.06666667,168.6,4.416,0.2999,-4.1161
-48.06666667,168.6333333,4.478,0.2999,-4.1781
-48.06666667,168.6666667,4.535,0.2999,-4.2351
-48.06666667,168.7,4.588,0.2999,-4.2881
-48.06666667,168.7333333,4.634,0.2999,-4.3341
-48.06666667,168.7666667,4.675,0.2999,-4.3751
-48.06666667,168.8,4.706,0.2999,-4.4061
-48.06666667,168.8333333,4.73,0.2999,-4.4301
-48.06666667,168.8666667,4.742,0.2999,-4.4421
-48.06666667,168.9,4.754,0.2999,-4.4541
-48.06666667,168.9333333,4.761,0.2999,-4.4611
-48.06666667,168.9666667,4.764,0.2999,-4.4641
-48.06666667,169,4.766,0.2999,-4.4661
-48.06666667,169.0333333,4.769,0.2999,-4.4691
-48.06666667,169.0666667,4.773,0.2999,-4.4731
-48.06666667,169.1,4.779,0.2999,-4.4791
-48.06666667,169.1333333,4.784,0.2999,-4.4841
-48.06666667,169.1666667,4.79,0.2999,-4.4901
-48.06666667,169.2,4.791,0.2999,-4.4911
-48.06666667,169.2333333,4.786,0.2999,-4.4861
-48.06666667,169.2666667,4.776,0.2999,-4.4761
-48.06666667,169.3,4.763,0.2999,-4.4631
-48.06666667,169.3333333,4.748,0.2999,-4.4481
-48.06666667,169.3666667,4.735,0.2999,-4.4351
-48.06666667,169.4,4.723,0.2999,-4.4231
-48.06666667,169.4333333,4.718,0.2999,-4.4181
-48.06666667,169.4666667,4.716,0.2999,-4.4161
-48.06666667,169.5,4.717,0.2999,-4.4171
-48.06666667,169.5333333,4.722,0.2999,-4.4221
-48.06666667,169.5666667,4.73,0.2999,-4.4301
-48.06666667,169.6,4.738,0.2999,-4.4381
-48.06666667,169.6333333,4.746,0.2999,-4.4461
-48.06666667,169.6666667,4.76,0.2999,-4.4601
-48.06666667,169.7,4.775,0.2999,-4.4751
-48.06666667,169.7333333,4.793,0.2999,-4.4931
-48.06666667,169.7666667,4.815,0.2999,-4.5151
-48.06666667,169.8,4.842,0.2999,-4.5421
-48.06666667,169.8333333,4.873,0.2999,-4.5731
-48.06666667,169.8666667,4.909,0.2999,-4.6091
-48.06666667,169.9,4.945,0.2999,-4.6451
-48.06666667,169.9333333,4.98,0.2999,-4.6801
-48.06666667,169.9666667,5.013,0.2999,-4.7131
-48.06666667,170,5.045,0.2999,-4.7451
-48.06666667,170.0333333,5.079,0.2999,-4.7791
-48.06666667,170.0666667,5.118,0.2999,-4.8181
-48.06666667,170.1,5.16,0.2999,-4.8601
-48.06666667,170.1333333,5.208,0.2999,-4.9081
-48.03333333,166.3,4.448,0.2999,-4.1481
-48.03333333,166.3333333,4.283,0.2999,-3.9831
-48.03333333,166.3666667,4.108,0.2999,-3.8081
-48.03333333,166.4,3.932,0.2999,-3.6321
-48.03333333,166.4333333,3.766,0.2999,-3.4661
-48.03333333,166.4666667,3.614,0.2999,-3.3141
-48.03333333,166.5,3.48,0.2999,-3.1801
-48.03333333,166.5333333,3.372,0.2999,-3.0721
-48.03333333,166.5666667,3.284,0.2999,-2.9841
-48.03333333,166.6,3.212,0.2999,-2.9121
-48.03333333,166.6333333,3.156,0.2999,-2.8561
-48.03333333,166.6666667,3.112,0.2999,-2.8121
-48.03333333,166.7,3.078,0.2999,-2.7781
-48.03333333,166.7333333,3.046,0.2999,-2.7461
-48.03333333,166.7666667,3.013,0.2999,-2.7131
-48.03333333,166.8,2.978,0.2999,-2.6781
-48.03333333,166.8333333,2.941,0.2999,-2.6411
-48.03333333,166.8666667,2.907,0.2999,-2.6071
-48.03333333,166.9,2.875,0.2999,-2.5751
-48.03333333,166.9333333,2.854,0.2999,-2.5541
-48.03333333,166.9666667,2.839,0.2999,-2.5391
-48.03333333,167,2.84,0.2999,-2.5401
-48.03333333,167.0333333,2.852,0.2999,-2.5521
-48.03333333,167.0666667,2.864,0.2999,-2.5641
-48.03333333,167.1,2.885,0.2999,-2.5851
-48.03333333,167.1333333,2.91,0.2999,-2.6101
-48.03333333,167.1666667,2.939,0.2999,-2.6391
-48.03333333,167.2,2.972,0.2999,-2.6721
-48.03333333,167.2333333,3.005,0.2999,-2.7051
-48.03333333,167.2666667,3.04,0.2999,-2.7401
-48.03333333,167.3,3.074,0.2999,-2.7741
-48.03333333,167.3333333,3.102,0.2999,-2.8021
-48.03333333,167.3666667,3.12,0.2999,-2.8201
-48.03333333,167.4,3.129,0.2999,-2.8291
-48.03333333,167.4333333,3.131,0.2999,-2.8311
-48.03333333,167.4666667,3.124,0.2999,-2.8241
-48.03333333,167.5,3.113,0.2999,-2.8131
-48.03333333,167.5333333,3.104,0.2999,-2.8041
-48.03333333,167.5666667,3.099,0.2999,-2.7991
-48.03333333,167.6,3.098,0.2999,-2.7981
-48.03333333,167.6333333,3.104,0.2999,-2.8041
-48.03333333,167.6666667,3.116,0.2999,-2.8161
-48.03333333,167.7,3.136,0.2999,-2.8361
-48.03333333,167.7333333,3.162,0.2999,-2.8621
-48.03333333,167.7666667,3.195,0.2999,-2.8951
-48.03333333,167.8,3.235,0.2999,-2.9351
-48.03333333,167.8333333,3.282,0.2999,-2.9821
-48.03333333,167.8666667,3.332,0.2999,-3.0321
-48.03333333,167.9,3.387,0.2999,-3.0871
-48.03333333,167.9333333,3.439,0.2999,-3.1391
-48.03333333,167.9666667,3.487,0.2999,-3.1871
-48.03333333,168,3.533,0.2999,-3.2331
