Lat,Long,Geoid2016,TNK70,TNK70_NZVD2016
-41.96666667,172.6,-18.222,0.2864,18.5084
-41.96666667,172.6333333,-18.185,0.2864,18.4714
-41.96666667,172.6666667,-18.379,0.2864,18.6654
-41.96666667,172.7,-18.375,0.2864,18.6614
-41.96666667,172.7333333,-18.535,0.2864,18.8214
-41.96666667,172.7666667,-18.512,0.2864,18.7984
-41.96666667,172.8,-18.561,0.2864,18.8474
-41.96666667,172.8333333,-18.439,0.2864,18.7254
-41.96666667,172.8666667,-18.375,0.2864,18.6614
-41.96666667,172.9,-18.256,0.2864,18.5424
-41.96666667,172.9333333,-18.277,0.2864,18.5634
-41.96666667,172.9666667,-18.399,0.2864,18.6854
-41.96666667,173,-18.367,0.2864,18.6534
-41.96666667,173.0333333,-18.228,0.2864,18.5144
-41.96666667,173.0666667,-18.166,0.2864,18.4524
-41.96666667,173.1,-17.957,0.2864,18.2434
-41.96666667,173.1333333,-17.918,0.2864,18.2044
-41.96666667,173.1666667,-17.883,0.2864,18.1694
-41.96666667,173.2,-17.714,0.2864,18.0004
-41.96666667,173.2333333,-17.668,0.2864,17.9544
-41.96666667,173.2666667,-17.503,0.2864,17.7894
-41.96666667,173.3,-17.326,0.2864,17.6124
-41.96666667,173.3333333,-17.23,0.2864,17.5164
-41.96666667,173.3666667,-17.012,0.2864,17.2984
-41.96666667,173.4,-16.679,0.2864,16.9654
-41.96666667,173.4333333,-16.435,0.2864,16.7214
-41.96666667,173.4666667,-16.228,0.2864,16.5144
-41.96666667,173.5,-16.086,0.2864,16.3724
-41.96666667,173.5333333,-15.976,0.2864,16.2624
-41.96666667,173.5666667,-15.96,0.2864,16.2464
-41.96666667,173.6,-16.059,0.2864,16.3454
-41.96666667,173.6333333,-15.936,0.2864,16.2224
-41.96666667,173.6666667,-15.822,0.2864,16.1084
-41.96666667,173.7,-15.481,0.2864,15.7674
-41.96666667,173.7333333,-15.109,0.2864,15.3954
-41.96666667,173.7666667,-14.645,0.2864,14.9314
-41.96666667,173.8,-14.209,0.2864,14.4954
-41.96666667,173.8333333,-13.885,0.2864,14.1714
-41.96666667,173.8666667,-13.632,0.2864,13.9184
-41.96666667,173.9,-13.424,0.2864,13.7104
-41.96666667,173.9333333,-13.112,0.2864,13.3984
-41.96666667,173.9666667,-12.795,0.2864,13.0814
-41.96666667,174,-12.481,0.2864,12.7674
-41.96666667,174.0333333,-12.189,0.2864,12.4754
-41.96666667,174.0666667,-11.912,0.2864,12.1984
-41.96666667,174.1,-11.672,0.2864,11.9584
-41.96666667,174.1333333,-11.455,0.2864,11.7414
-41.96666667,174.1666667,-11.262,0.2864,11.5484
-41.96666667,174.2,-11.1,0.2864,11.3864
-41.96666667,174.2333333,-10.959,0.2864,11.2454
-41.96666667,174.2666667,-10.831,0.2864,11.1174
-41.96666667,174.3,-10.718,0.2926,11.0106
-41.96666667,174.3333333,-10.619,0.2926,10.9116
-41.96666667,174.3666667,-10.522,0.2926,10.8146
-41.96666667,174.4,-10.422,0.2926,10.7146
-41.96666667,174.4333333,-10.313,0.2927,10.6057
-41.96666667,174.4666667,-10.204,0.2928,10.4968
-41.96666667,174.5,-10.086,0.2928,10.3788
-41.96666667,174.5333333,-9.975,0.2929,10.2679
-41.96666667,174.5666667,-9.881,0.293,10.174
-41.96666667,174.6,-9.803,0.2931,10.0961
-41.96666667,174.6333333,-9.743,0.2932,10.0362
-41.96666667,174.6666667,-9.702,0.2933,9.9953
-41.96666667,174.7,-9.66,0.2934,9.9534
-41.96666667,174.7333333,-9.604,0.2935,9.8975
-41.96666667,174.7666667,-9.531,0.2936,9.8246
-41.96666667,174.8,-9.445,0.2937,9.7387
-41.96666667,174.8333333,-9.35,0.2939,9.6439
-41.96666667,174.8666667,-9.253,0.294,9.547
-41.96666667,174.9,-9.16,0.2941,9.4541
-41.96666667,174.9333333,-9.073,0.2943,9.3673
-41.96666667,174.9666667,-8.995,0.2944,9.2894
-41.96666667,175,-8.928,0.2946,9.2226
-41.96666667,175.0333333,-8.882,0.2948,9.1768
-41.96666667,175.0666667,-8.853,0.2949,9.1479
-41.96666667,175.1,-8.841,0.2951,9.1361
-41.96666667,175.1333333,-8.843,0.2953,9.1383
-41.96666667,175.1666667,-8.861,0.2955,9.1565
-41.96666667,175.2,-8.892,0.2957,9.1877
-41.96666667,175.2333333,-8.926,0.2958,9.2218
-41.96666667,175.2666667,-8.961,0.296,9.257
-41.96666667,175.3,-8.995,0.2962,9.2912
-41.96666667,175.3333333,-9.026,0.2965,9.3225
-41.96666667,175.3666667,-9.06,0.2967,9.3567
-41.96666667,175.4,-9.098,0.2969,9.3949
-41.96666667,175.4333333,-9.141,0.2971,9.4381
-41.96666667,175.4666667,-9.187,0.2973,9.4843
-41.96666667,175.5,-9.233,0.2975,9.5305
-41.96666667,175.5333333,-9.278,0.2978,9.5758
-41.96666667,175.5666667,-9.32,0.298,9.618
-41.96666667,175.6,-9.364,0.2982,9.6622
-41.96666667,175.6333333,-9.41,0.2985,9.7085
-41.96666667,175.6666667,-9.459,0.2987,9.7577
-41.96666667,175.7,-9.509,0.2989,9.8079
-41.96666667,175.7333333,-9.564,0.2992,9.8632
-41.96666667,175.7666667,-9.615,0.2994,9.9144
-41.96666667,175.8,-9.664,0.2997,9.9637
-41.96666667,175.8333333,-9.713,0.2999,10.0129
-41.96666667,175.8666667,-9.76,0.3001,10.0601
-41.96666667,175.9,-9.806,0.3004,10.1064
-41.96666667,175.9333333,-9.852,0.3006,10.1526
-41.96666667,175.9666667,-9.898,0.3008,10.1988
-41.96666667,176,-9.942,0.301,10.243
-41.96666667,176.0333333,-9.989,0.3013,10.2903
-41.96666667,176.0666667,-10.038,0.3015,10.3395
-41.96666667,176.1,-10.089,0.3017,10.3907
-41.96666667,176.1333333,-10.144,0.3019,10.4459
-41.96666667,176.1666667,-10.201,0.302,10.503
-41.96666667,176.2,-10.257,0.3022,10.5592
-41.96666667,176.2333333,-10.313,0.3024,10.6154
-41.96666667,176.2666667,-10.37,0.3026,10.6726
-41.96666667,176.3,-10.426,0.3027,10.7287
-41.96666667,176.3333333,-10.487,0.3028,10.7898
-41.96666667,176.3666667,-10.552,0.303,10.855
-41.96666667,176.4,-10.62,0.3031,10.9231
-41.96666667,176.4333333,-10.685,0.3032,10.9882
-41.96666667,176.4666667,-10.751,0.3033,11.0543
-41.96666667,176.5,-10.815,0.3034,11.1184
-41.96666667,176.5333333,-10.879,0.3035,11.1825
-41.96666667,176.5666667,-10.948,0.3035,11.2515
-41.96666667,176.6,-11.018,0.3036,11.3216
-41.96666667,176.6333333,-11.087,0.3037,11.3907
-41.96666667,176.6666667,-11.155,0.3037,11.4587
-41.96666667,176.7,-11.226,0.3037,11.5297
-41.96666667,176.7333333,-11.296,0.3038,11.5998
-41.96666667,176.7666667,-11.369,0.3038,11.6728
-41.96666667,176.8,-11.441,0.3038,11.7448
-41.96666667,176.8333333,-11.511,0.3038,11.8148
-41.96666667,176.8666667,-11.578,0.3038,11.8818
-41.96666667,176.9,-11.644,0.3039,11.9479
-41.96666667,176.9333333,-11.712,0.3039,12.0159
-41.96666667,176.9666667,-11.783,0.3039,12.0869
-41.96666667,177,-11.856,0.3039,12.1599
-41.96666667,177.0333333,-11.932,0.3038,12.2358
-41.96666667,177.0666667,-12.008,0.3038,12.3118
-41.96666667,177.1,-12.081,0.3038,12.3848
-41.96666667,177.1333333,-12.152,0.3038,12.4558
-41.96666667,177.1666667,-12.221,0.3038,12.5248
-41.96666667,177.2,-12.293,0.3038,12.5968
-41.96666667,177.2333333,-12.37,0.3038,12.6738
-41.96666667,177.2666667,-12.451,0.3038,12.7548
-41.96666667,177.3,-12.538,0.3038,12.8418
-41.96666667,177.3333333,-12.63,0.2864,12.9164
-41.96666667,177.3666667,-12.728,0.2864,13.0144
-41.96666667,177.4,-12.832,0.2864,13.1184
-41.96666667,177.4333333,-12.941,0.2864,13.2274
-41.96666667,177.4666667,-13.054,0.2864,13.3404
-41.96666667,177.5,-13.171,0.2864,13.4574
-41.96666667,177.5333333,-13.287,0.2864,13.5734
-41.96666667,177.5666667,-13.396,0.2864,13.6824
-41.96666667,177.6,-13.499,0.2864,13.7854
-41.96666667,177.6333333,-13.593,0.2864,13.8794
-41.96666667,177.6666667,-13.678,0.2864,13.9644
-41.93333333,172.6,-18.071,0.2864,18.3574
-41.93333333,172.6333333,-18.062,0.2864,18.3484
-41.93333333,172.6666667,-18.296,0.2864,18.5824
-41.93333333,172.7,-18.281,0.2864,18.5674
-41.93333333,172.7333333,-18.644,0.2864,18.9304
-41.93333333,172.7666667,-18.532,0.2864,18.8184
-41.93333333,172.8,-18.452,0.2864,18.7384
-41.93333333,172.8333333,-18.48,0.2864,18.7664
-41.93333333,172.8666667,-18.499,0.2864,18.7854
-41.93333333,172.9,-18.266,0.2864,18.5524
-41.93333333,172.9333333,-18.328,0.2864,18.6144
-41.93333333,172.9666667,-18.377,0.2864,18.6634
-41.93333333,173,-18.387,0.2864,18.6734
-41.93333333,173.0333333,-18.288,0.2864,18.5744
-41.93333333,173.0666667,-18.078,0.2864,18.3644
-41.93333333,173.1,-17.959,0.2864,18.2454
-41.93333333,173.1333333,-17.781,0.2864,18.0674
-41.93333333,173.1666667,-17.748,0.2864,18.0344
-41.93333333,173.2,-17.709,0.2864,17.9954
-41.93333333,173.2333333,-17.654,0.2864,17.9404
-41.93333333,173.2666667,-17.571,0.2864,17.8574
-41.93333333,173.3,-17.411,0.2864,17.6974
-41.93333333,173.3333333,-17.288,0.2864,17.5744
-41.93333333,173.3666667,-16.988,0.2864,17.2744
-41.93333333,173.4,-16.722,0.2864,17.0084
-41.93333333,173.4333333,-16.544,0.2864,16.8304
-41.93333333,173.4666667,-16.292,0.2864,16.5784
-41.93333333,173.5,-16.132,0.2864,16.4184
-41.93333333,173.5333333,-15.944,0.2864,16.2304
-41.93333333,173.5666667,-15.79,0.2864,16.0764
-41.93333333,173.6,-15.753,0.2864,16.0394
-41.93333333,173.6333333,-15.66,0.2864,15.9464
-41.93333333,173.6666667,-15.468,0.2864,15.7544
-41.93333333,173.7,-15.333,0.2864,15.6194
-41.93333333,173.7333333,-15.115,0.2864,15.4014
-41.93333333,173.7666667,-14.708,0.2864,14.9944
-41.93333333,173.8,-14.379,0.2864,14.6654
-41.93333333,173.8333333,-14.044,0.2864,14.3304
-41.93333333,173.8666667,-13.785,0.2864,14.0714
-41.93333333,173.9,-13.497,0.2864,13.7834
-41.93333333,173.9333333,-13.271,0.2864,13.5574
-41.93333333,173.9666667,-12.973,0.2864,13.2594
-41.93333333,174,-12.717,0.2864,13.0034
-41.93333333,174.0333333,-12.407,0.2864,12.6934
-41.93333333,174.0666667,-12.103,0.2864,12.3894
-41.93333333,174.1,-11.824,0.2864,12.1104
-41.93333333,174.1333333,-11.593,0.2864,11.8794
-41.93333333,174.1666667,-11.388,0.2864,11.6744
-41.93333333,174.2,-11.216,0.2864,11.5024
-41.93333333,174.2333333,-11.058,0.2864,11.3444
-41.93333333,174.2666667,-10.929,0.2864,11.2154
-41.93333333,174.3,-10.807,0.2926,11.0996
-41.93333333,174.3333333,-10.702,0.2926,10.9946
-41.93333333,174.3666667,-10.611,0.2926,10.9036
-41.93333333,174.4,-10.521,0.2926,10.8136
-41.93333333,174.4333333,-10.428,0.2927,10.7207
-41.93333333,174.4666667,-10.341,0.2928,10.6338
-41.93333333,174.5,-10.238,0.2928,10.5308
-41.93333333,174.5333333,-10.143,0.2929,10.4359
-41.93333333,174.5666667,-10.052,0.293,10.345
-41.93333333,174.6,-9.982,0.2931,10.2751
-41.93333333,174.6333333,-9.933,0.2932,10.2262
-41.93333333,174.6666667,-9.894,0.2933,10.1873
-41.93333333,174.7,-9.854,0.2934,10.1474
-41.93333333,174.7333333,-9.803,0.2935,10.0965
-41.93333333,174.7666667,-9.739,0.2936,10.0326
-41.93333333,174.8,-9.655,0.2937,9.9487
-41.93333333,174.8333333,-9.566,0.2939,9.8599
-41.93333333,174.8666667,-9.474,0.294,9.768
-41.93333333,174.9,-9.382,0.2941,9.6761
-41.93333333,174.9333333,-9.298,0.2943,9.5923
-41.93333333,174.9666667,-9.222,0.2944,9.5164
-41.93333333,175,-9.158,0.2946,9.4526
-41.93333333,175.0333333,-9.114,0.2948,9.4088
-41.93333333,175.0666667,-9.088,0.2949,9.3829
-41.93333333,175.1,-9.077,0.2951,9.3721
-41.93333333,175.1333333,-9.08,0.2953,9.3753
-41.93333333,175.1666667,-9.097,0.2955,9.3925
-41.93333333,175.2,-9.128,0.2957,9.4237
-41.93333333,175.2333333,-9.163,0.2958,9.4588
-41.93333333,175.2666667,-9.199,0.296,9.495
-41.93333333,175.3,-9.233,0.2962,9.5292
-41.93333333,175.3333333,-9.266,0.2964,9.5624
