Lat,Long,Geoid2016,WGN53,WGN53_NZVD2016
-42.46666667,173.1333333,-15.148,0.4082,15.5562
-42.46666667,173.1666667,-14.914,0.4059,15.3199
-42.46666667,173.2,-14.691,0.4059,15.0969
-42.46666667,173.2333333,-14.508,0.4059,14.9139
-42.46666667,173.2666667,-14.29,0.4059,14.6959
-42.46666667,173.3,-14.129,0.406,14.535
-42.46666667,173.3333333,-13.944,0.406,14.35
-42.46666667,173.3666667,-13.799,0.4061,14.2051
-42.46666667,173.4,-13.661,0.4061,14.0671
-42.46666667,173.4333333,-13.51,0.4062,13.9162
-42.46666667,173.4666667,-13.324,0.4063,13.7303
-42.46666667,173.5,-13.03,0.4064,13.4364
-42.46666667,173.5333333,-12.727,0.4065,13.1335
-42.46666667,173.5666667,-12.442,0.4066,12.8486
-42.46666667,173.6,-12.194,0.4068,12.6008
-42.46666667,173.6333333,-11.974,0.4069,12.3809
-42.46666667,173.6666667,-11.764,0.407,12.171
-42.46666667,173.7,-11.555,0.4072,11.9622
-42.46666667,173.7333333,-11.336,0.4074,11.7434
-42.46666667,173.7666667,-11.109,0.4075,11.5165
-42.46666667,173.8,-10.882,0.4077,11.2897
-42.46666667,173.8333333,-10.646,0.4079,11.0539
-42.46666667,173.8666667,-10.42,0.4082,10.8282
-42.46666667,173.9,-10.213,0.4084,10.6214
-42.46666667,173.9333333,-10.017,0.4086,10.4256
-42.46666667,173.9666667,-9.832,0.4089,10.2409
-42.46666667,174,-9.649,0.4091,10.0581
-42.46666667,174.0333333,-9.472,0.4094,9.8814
-42.46666667,174.0666667,-9.302,0.4097,9.7117
-42.46666667,174.1,-9.143,0.41,9.553
-42.46666667,174.1333333,-9.003,0.4103,9.4133
-42.46666667,174.1666667,-8.87,0.4106,9.2806
-42.46666667,174.2,-8.761,0.4109,9.1719
-42.46666667,174.2333333,-8.673,0.4113,9.0843
-42.46666667,174.2666667,-8.605,0.4116,9.0166
-42.46666667,174.3,-8.541,0.412,8.953
-42.46666667,174.3333333,-8.484,0.4123,8.8963
-42.46666667,174.3666667,-8.433,0.4127,8.8457
-42.46666667,174.4,-8.391,0.4131,8.8041
-42.46666667,174.4333333,-8.36,0.4135,8.7735
-42.46666667,174.4666667,-8.326,0.4139,8.7399
-42.46666667,174.5,-8.303,0.4143,8.7173
-42.46666667,174.5333333,-8.286,0.4148,8.7008
-42.46666667,174.5666667,-8.282,0.4152,8.6972
-42.46666667,174.6,-8.273,0.4156,8.6886
-42.46666667,174.6333333,-8.276,0.4161,8.6921
-42.46666667,174.6666667,-8.285,0.4165,8.7015
-42.46666667,174.7,-8.305,0.417,8.722
-42.46666667,174.7333333,-8.329,0.4174,8.7464
-42.46666667,174.7666667,-8.364,0.4179,8.7819
-42.46666667,174.8,-8.401,0.4184,8.8194
-42.46666667,174.8333333,-8.444,0.4188,8.8628
-42.46666667,174.8666667,-8.49,0.4193,8.9093
-42.46666667,174.9,-8.534,0.4198,8.9538
-42.46666667,174.9333333,-8.576,0.4202,8.9962
-42.46666667,174.9666667,-8.617,0.4207,9.0377
-42.46666667,175,-8.654,0.4212,9.0752
-42.46666667,175.0333333,-8.695,0.4217,9.1167
-42.46666667,175.0666667,-8.746,0.4221,9.1681
-42.46666667,175.1,-8.801,0.4226,9.2236
-42.46666667,175.1333333,-8.862,0.4231,9.2851
-42.46666667,175.1666667,-8.925,0.4235,9.3485
-42.46666667,175.2,-8.99,0.424,9.414
-42.46666667,175.2333333,-9.058,0.4245,9.4825
-42.46666667,175.2666667,-9.126,0.4249,9.5509
-42.46666667,175.3,-9.197,0.4254,9.6224
-42.46666667,175.3333333,-9.269,0.4258,9.6948
-42.46666667,175.3666667,-9.347,0.4263,9.7733
-42.46666667,175.4,-9.426,0.4267,9.8527
-42.46666667,175.4333333,-9.503,0.4272,9.9302
-42.46666667,175.4666667,-9.578,0.4276,10.0056
-42.46666667,175.5,-9.651,0.428,10.079
-42.46666667,175.5333333,-9.722,0.4285,10.1505
-42.46666667,175.5666667,-9.793,0.4289,10.2219
-42.46666667,175.6,-9.862,0.4293,10.2913
-42.46666667,175.6333333,-9.927,0.4297,10.3567
-42.46666667,175.6666667,-9.99,0.4301,10.4201
-42.46666667,175.7,-10.05,0.4304,10.4804
-42.46666667,175.7333333,-10.109,0.4308,10.5398
-42.46666667,175.7666667,-10.172,0.4312,10.6032
-42.46666667,175.8,-10.238,0.4315,10.6695
-42.46666667,175.8333333,-10.31,0.4319,10.7419
-42.46666667,175.8666667,-10.383,0.4322,10.8152
-42.46666667,175.9,-10.459,0.4325,10.8915
-42.46666667,175.9333333,-10.536,0.4328,10.9688
-42.46666667,175.9666667,-10.615,0.4331,11.0481
-42.46666667,176,-10.698,0.4334,11.1314
-42.46666667,176.0333333,-10.782,0.4336,11.2156
-42.46666667,176.0666667,-10.867,0.4339,11.3009
-42.46666667,176.1,-10.95,0.4341,11.3841
-42.46666667,176.1333333,-11.03,0.4343,11.4643
-42.46666667,176.1666667,-11.106,0.4345,11.5405
-42.46666667,176.2,-11.179,0.4347,11.6137
-42.46666667,176.2333333,-11.251,0.4349,11.6859
-42.46666667,176.2666667,-11.323,0.4351,11.7581
-42.46666667,176.3,-11.393,0.4352,11.8282
-42.46666667,176.3333333,-11.46,0.4354,11.8954
-42.46666667,176.3666667,-11.519,0.4354,11.9544
-42.46666667,176.4,-11.574,0.4355,12.0095
-42.46666667,176.4333333,-11.626,0.4082,12.0342
-42.46666667,176.4666667,-11.677,0.4082,12.0852
-42.46666667,176.5,-11.729,0.4082,12.1372
-42.46666667,176.5333333,-11.787,0.4082,12.1952
-42.46666667,176.5666667,-11.849,0.4082,12.2572
